Refactoring,System,DTWC,DR,DW,IDFP,IDS,ISQLQ,IGS,LIC,LT,MIM,NLMR,PD,RAM,SL,UC,Total Smelly,Total non-smelly
EM,Apg,7,0,0,0,1,0,0,9,3,49,19,0,0,26,13,114,553
EM,congress,1,28,0,0,29,0,0,18,0,15,30,0,0,0,0,121,386
EM,Netguard,30,0,33,0,0,0,0,30,35,47,40,0,0,0,0,215,635
EM,Notepad,21,0,0,0,0,0,0,28,0,40,32,0,0,0,0,121,281
EM,Omni-Notes,0,0,0,0,0,0,0,0,0,61,26,0,0,36,12,123,584
MM,Apg,1,0,0,0,2,0,0,4,0,43,4,0,0,8,14,62,248
MM,congress,0,36,0,0,0,0,0,46,0,23,44,0,0,0,0,149,308
MM,Netguard,8,0,0,0,0,0,0,8,7,11,9,0,0,0,0,43,279
MM,Notepad,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,27,156
MM,Omni-Notes,8,0,0,0,0,0,4,6,0,32,20,0,0,14,8,84,268
EAM,Apg,2,0,0,0,0,0,1,3,2,11,4,0,0,5,3,28,123
EAM,congress,0,13,0,0,1,0,0,11,0,13,13,0,0,0,0,51,111
EAM,Netguard,10,0,9,0,9,0,0,10,9,15,13,0,0,0,0,75,152
EAMM,Notepad,1,0,1,0,0,0,0,0,0,2,2,0,0,0,0,6,99
EAM,Omni-Notes,0,0,0,0,0,0,0,2,0,6,4,0,0,4,0,16,260
IM,Apg,3,0,0,0,0,0,0,3,1,3,1,0,0,7,7,18,84
IM,congress,0,11,0,0,1,0,0,9,0,12,10,0,0,0,0,43,74
IM,Netguard,3,0,4,0,0,0,0,0,5,6,6,0,0,0,0,24,75
IM,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
IM,Omni-Notes,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,10,51
RM,Apg,5,0,0,0,0,0,0,13,3,46,18,0,0,27,17,112,324
RM,congress,0,38,2,0,0,0,0,15,0,17,20,0,0,0,0,92,247
RM,Netguard,0,0,3,0,0,0,0,0,0,35,44,0,0,0,0,82,286
RM,Notepad,8,0,6,0,0,0,0,0,0,13,12,0,0,0,0,39,249
RM,Omni-Notes,12,0,0,0,0,0,6,18,0,30,10,0,0,13,10,89,267
MA,Apg,0,0,0,0,0,0,0,1,1,7,3,0,0,1,1,13,134
MA,congress,0,99,0,0,0,0,0,90,3,80,117,0,0,0,0,389,467
MA,Netguard,6,0,0,0,0,0,0,0,0,10,9,0,0,0,0,25,155
MA,Notepad,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,79
MA,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
PUM,Apg,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,11,127
PUM,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUM,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUM,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUM,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUA,Apg,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,74
PUA,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUA,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUA,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
PUA,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
PDM,Apg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
PDM,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDM,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDM,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDM,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC,Apg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
RC,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
RC,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RC,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ESC,Apg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
ESC,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESC,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESC,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESC,Omni-Notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,Apg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,congress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,Netguard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,Notepad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC,Omni-notes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,126,225,58,0,43,0,11,324,69,659,529,0,0,145,85,2189,7411
